DINACICLIB+C0877373,DINACICLIB,C0877373,"['32738099', '28859059', '24393852', '24131779', '23053255']"
DINACICLIB+C0854802,DINACICLIB,C0854802,"['28126927', '25217392']"
DINACICLIB+C0855097,DINACICLIB,C0855097,"['28126927', '25708835', '25217392']"
DINACICLIB+C3539878,DINACICLIB,C3539878,['25947565']
DINACICLIB+C2349261,DINACICLIB,C2349261,['25395429']
DINACICLIB+C0678222,DINACICLIB,C0678222,['24393852']
DINACICLIB+C0007131,DINACICLIB,C0007131,['24388167']
DINACICLIB+C0085669,DINACICLIB,C0085669,['23949430']
ABEMACICLIB+C0678222,ABEMACICLIB,C0678222,"['35915198', '34661821', '33914991', '33797023', '33686753', '33410514', '33392835', '32954927', '32694159', '32536013', '31563959', '31464525', '28968163', '28580882']"
ABEMACICLIB+C0877373,ABEMACICLIB,C0877373,"['35915198', '34661821', '33914991', '33686753', '33392835', '32536013', '28968163', '28580882', '27312735']"
ABEMACICLIB+C0278488,ABEMACICLIB,C0278488,"['35829935', '33148479', '32750143']"
ABEMACICLIB+C1512441,ABEMACICLIB,C1512441,"['35653145', '34656740', '33399254']"
ABEMACICLIB+C0025500,ABEMACICLIB,C0025500,['35157829']
ABEMACICLIB+C0007104,ABEMACICLIB,C0007104,['34425869']
ABEMACICLIB+C0741682,ABEMACICLIB,C0741682,['34425869']
ABEMACICLIB+C0027627,ABEMACICLIB,C0027627,"['33686452', '33492568']"
ABEMACICLIB+C0280100,ABEMACICLIB,C0280100,['33686452']
ABEMACICLIB+C0220650,ABEMACICLIB,C0220650,['32694159']
ABEMACICLIB+C0006826,ABEMACICLIB,C0006826,['32581049']
ABEMACICLIB+C0855138,ABEMACICLIB,C0855138,['32381571']
ABEMACICLIB+C1960398,ABEMACICLIB,C1960398,['32353342']
ABEMACICLIB+C0280217,ABEMACICLIB,C0280217,"['31586771', '26432508']"
ABEMACICLIB+C0007131,ABEMACICLIB,C0007131,['30082474']
ABEMACICLIB+C0012634,ABEMACICLIB,C0012634,['26432508']
RIBOCICLIB+C0677886,RIBOCICLIB,C0677886,['35972817']
RIBOCICLIB+C0678222,RIBOCICLIB,C0678222,"['35575587', '35263519', '35212906', '35131646', '34965945', '34414532', '34152031', '33676870', '33065342', '31826360', '31166679', '30340505', '29860922', '29804902', '29718092', '29654415', '29404806', '29164421', '29058175', '27717303', '27336726']"
RIBOCICLIB+C0877373,RIBOCICLIB,C0877373,"['35575587', '35263519', '35212906', '35131646', '34965945', '34414532', '34347542', '34152031', '33676870', '33065342', '31826360', '29860922', '29804902', '29718092', '29654415', '29404806', '29164421', '27717303']"
RIBOCICLIB+C0007131,RIBOCICLIB,C0007131,['35298959']
RIBOCICLIB+C4721208,RIBOCICLIB,C4721208,['35176163']
RIBOCICLIB+C1854365,RIBOCICLIB,C1854365,['35034858']
RIBOCICLIB+C0849668,RIBOCICLIB,C0849668,['34965945']
RIBOCICLIB+C0205824,RIBOCICLIB,C0205824,['34921024']
RIBOCICLIB+C0278488,RIBOCICLIB,C0278488,['34504990']
RIBOCICLIB+C0742343,RIBOCICLIB,C0742343,['34347542']
RIBOCICLIB+C0206655,RIBOCICLIB,C0206655,['34347542']
RIBOCICLIB+C0278487,RIBOCICLIB,C0278487,['34102253']
RIBOCICLIB+C0948807,RIBOCICLIB,C0948807,['33555033']
RIBOCICLIB+C0153633,RIBOCICLIB,C0153633,['33547201']
RIBOCICLIB+C2347923,RIBOCICLIB,C2347923,['33547201']
RIBOCICLIB+C0677936,RIBOCICLIB,C0677936,['33547201']
RIBOCICLIB+C0476089,RIBOCICLIB,C0476089,['33109627']
RIBOCICLIB+C2986658,RIBOCICLIB,C2986658,['33034839']
RIBOCICLIB+C3642346,RIBOCICLIB,C3642346,['31838010']
RIBOCICLIB+C0027651,RIBOCICLIB,C0027651,"['31399936', '31285369', '29404806']"
RIBOCICLIB+C3897752,RIBOCICLIB,C3897752,"['31399936', '31285369']"
RIBOCICLIB+C1960398,RIBOCICLIB,C1960398,['31235441']
RIBOCICLIB+C0030193,RIBOCICLIB,C0030193,['29404806']
RIBOCICLIB+C4329281,RIBOCICLIB,C4329281,"['29059492', '27542767']"
RIBOCICLIB+C0278704,RIBOCICLIB,C0278704,['28432176']
RIBOCICLIB+C0027819,RIBOCICLIB,C0027819,['28432176']
RIBOCICLIB+C0280100,RIBOCICLIB,C0280100,['28432176']
RIBOCICLIB+C0024299,RIBOCICLIB,C0024299,['27542767']
RIVICICLIB+C0855138,RIVICICLIB,C0855138,['25816934']
TRILACICLIB+C0278726,TRILACICLIB,C0278726,"['35842567', '34873975']"
TRILACICLIB+C3539878,TRILACICLIB,C3539878,"['34887261', '31575503']"
TRILACICLIB+C0149925,TRILACICLIB,C0149925,"['34405547', '34109630', '33123968', '31504118']"
MILCICLIB MALEATE+C0877373,MILCICLIB MALEATE,C0877373,['22160853']
RONICICLIB+C0278726,RONICICLIB,C0278726,"['30677506', '30089585']"
RONICICLIB+C3887654,RONICICLIB,C3887654,"['30089585', '28463960']"
RONICICLIB+C0877373,RONICICLIB,C0877373,['28463960']
DALPICICLIB+C0678222,DALPICICLIB,C0678222,['34737452']
DALPICICLIB+C0877373,DALPICICLIB,C0877373,['34737452']
TOFACITINIB+C2676739,TOFACITINIB,C2676739,"['36054046', '30096107', '28512669', '26236738', '24267397', '19639620']"
TOFACITINIB+C0036421,TOFACITINIB,C0036421,"['35943798', '34313812']"
TOFACITINIB+C0036202,TOFACITINIB,C0036202,['35668129']
TOFACITINIB+C0038013,TOFACITINIB,C0038013,"['35654457', '33906853', '32396519', '29718421', '28130206']"
TOFACITINIB+C0015672,TOFACITINIB,C0015672,"['35654457', '35382883', '33059710']"
TOFACITINIB+C0030193,TOFACITINIB,C0030193,"['35654457', '33059710', '32396519', '19587388']"
TOFACITINIB+C0003873,TOFACITINIB,C0003873,"['35643956', '35577477', '35382883', '35081280', '35027405', '34103405', '34057820', '33127856', '33059710', '32396519', '32048083', '31673419', '31207152', '30982378', '30953540', '30666826', '30489177', '30425195', '30177460', '30137547', '30075534', '30075427', '29696833', '29656373', '29314645', '29151519', '29142036', '28845577', '28629665', '28460083', '27734232', '27565000', '27334658', '27156561', '26929445', '26818974', '26530039', '25889308', '25795907', '25496464', '25470338', '25398374', '25186034', '25063045', '24941177', '24665995', '24441153', '24218541', '24026258', '23960438', '23482473', '23348607', '23294500', '22873531', '22873530', '22006202', '21952978', '21584942', '20233177', '19880676', '19587388', '19565475']"
